## AA AC Actin Akt Alix alpha_1213R alpha_catenin alpha_iR alpha_qR alpha_sR AMSH AND_34 AP2 ARF ARNO Arp_23 ASK1 B_Arrestin B_catenin B_Parvin Ca CALM CaM CaMK CaMKK cAMP Cas Cbl_ErbB2 Cbl_FA Cbl_RTK Cbp Cdc42 CHIP CIN85 Clathrin Cortactin Crk Csk DAG DGK DOCK180 Dynamin E_cadherin EEA1 EGFR_EGFR EGFR_EGFR_EGF_CCP EGFR_EGFR_EGF_CCV EGFR_EGFR_EGF_End EGFR_EGFR_EGF_Lysosome EGFR_EGFR_EGF_MVB EGFR_EGFR_EGF_PM EGFR_EGFR_EGF_SR EGFR_EGFR_TGFa_CCP EGFR_EGFR_TGFa_CCV EGFR_EGFR_TGFa_End EGFR_EGFR_TGFa_PM EGFR_ErbB2 EGFR_ErbB3 EGFR_ErbB4 EGFR_Free EGFR_T654 EGFR_T669 EGFR_Ub EGFR_Y1045 EGFR_Y1068 EGFR_Y1086 EGFR_Y1101 EGFR_Y1148 EGFR_Y1173 EGFR_Y845 EGFR_Y891 EGFR_Y920 EGFR_Y992 Endophilin Eps15 Epsin ErbB2_ErbB3 ErbB2_ErbB4 ErbB2_Free ErbB2_Lysosome ErbB2_Ub ErbB2_Y1023 ErbB2_Y1139 ErbB2_Y1196 ErbB2_Y1221_22 ErbB2_Y1248 ErbB3_ErbB4 ErbB3_Free ErbB3_Y1035 ErbB3_Y1178 ErbB3_Y1180 ErbB3_Y1203_05 ErbB3_Y1241 ErbB3_Y1243 ErbB3_Y1257 ErbB3_Y1270 ErbB3_Y1309 ErbB4_ErbB4 ErbB4_Free ErbB4_Y1056 ErbB4_Y1188 ErbB4_Y1242 Erk ESCRT_0 ESCRT_I ESCRT_II ESCRT_III Fak Fer Ga_1213 Gab1 Gai GAK Gaq Gas Gbg_1213 Gbg_i Gbg_q Gbg_s GCK Graf Grb2 GRK Hakai Hip1R Hsc70 Hsp90 IL1_TNFR ILK Integrins IP3 IP3R1 IQGAP1 Mek Mekk1 Mekk2 Mekk3 Mekk4 MKK3 MKK6 MKK7 MKPs MLCK MLCP MLK1 MLK2 MLK3 Myosin Nck NIK p115RhoGEF p120_catenin p120RasGAP p190RhoGAP p38 p90RSK PA PAK Palpha_1213R Palpha_iR Palpha_qR Palpha_sR PDE4 PDK1 PI3K PI4K PI5K PIP2_34 PIP2_45 PIP3_345 PIP_4 Pix_Cool PKA PKC PKC_primed PLA2 PLC_B PLC_g PLD PP2A PTEN PTP1b PTPa PTPPEST Rab5 Rab7 Rabaptin_5 Rabenosyn_5 Rabex_5 Rac Raf Raf_DeP Raf_Loc Raf_Rest Ral RalBP1 RalGDS Rap1 Ras RasGRF_GRP RGS Rho RhoGDI RhoK RIN RKIP SAPK Sek1 Shc SHP2 Sos Spry2 Src Tab_12 TAK1 Talin TAO_12 Tiam Tpl2 Trafs Trx UBPY Vinc VPS4 WASP ErbB2_Contr ExtPump ECM EGF IL1_TNF ErbB4_Contr AG alpha_iL NRG TGFa ExtE_cadherin ErbB3_Contr alpha_sL Stress Pertuzumab Trastuzumab alpha_1213L alpha_qL PTEN_I PI3K_I ErbB2Deg_Contr EGFR_Contr
# AA (PLA2, AA)
0, 0
1, 1
# AC (ECM, Gas, Gbg_i, Integrins, AC)
0, 0, 0, 0, 0
0, 0, 0, 1, 0
0, 0, 1, 0, 0
0, 0, 1, 1, 0
0, 1, 0, 0, 0
0, 1, 0, 1, 0
0, 1, 1, 0, 0
0, 1, 1, 1, 0
1, 0, 0, 0, 0
1, 0, 0, 1, 0
1, 0, 1, 0, 0
1, 0, 1, 1, 0
1, 1, 0, 0, 0
1, 1, 0, 1, 0
1, 1, 1, 0, 0
1, 1, 1, 1, 1
# Actin (Arp_23, IQGAP1, Myosin, alpha_catenin, Actin)
0, 0, 0, 0, 0
0, 0, 0, 1, 0
0, 0, 1, 0, 0
0, 0, 1, 1, 0
0, 1, 0, 0, 0
0, 1, 0, 1, 0
0, 1, 1, 0, 1
0, 1, 1, 1, 1
1, 0, 0, 0, 0
1, 0, 0, 1, 0
1, 0, 1, 0, 0
1, 0, 1, 1, 1
1, 1, 0, 0, 0
1, 1, 0, 1, 0
1, 1, 1, 0, 1
1, 1, 1, 1, 1
# Akt (Akt, CaMKK, ILK, PDK1, PIP2_34, PIP3_345, PP2A, Src, Akt)
0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 1, 0
0, 0, 0, 0, 0, 0, 1, 0, 0
0, 0, 0, 0, 0, 0, 1, 1, 0
0, 0, 0, 0, 0, 1, 0, 0, 0
0, 0, 0, 0, 0, 1, 0, 1, 0
0, 0, 0, 0, 0, 1, 1, 0, 0
0, 0, 0, 0, 0, 1, 1, 1, 0
0, 0, 0, 0, 1, 0, 0, 0, 0
0, 0, 0, 0, 1, 0, 0, 1, 0
0, 0, 0, 0, 1, 0, 1, 0, 0
0, 0, 0, 0, 1, 0, 1, 1, 0
0, 0, 0, 0, 1, 1, 0, 0, 0
0, 0, 0, 0, 1, 1, 0, 1, 0
0, 0, 0, 0, 1, 1, 1, 0, 0
0, 0, 0, 0, 1, 1, 1, 1, 0
0, 0, 0, 1, 0, 0, 0, 0, 0
0, 0, 0, 1, 0, 0, 0, 1, 0
0, 0, 0, 1, 0, 0, 1, 0, 0
0, 0, 0, 1, 0, 0, 1, 1, 0
0, 0, 0, 1, 0, 1, 0, 0, 0
0, 0, 0, 1, 0, 1, 0, 1, 0
0, 0, 0, 1, 0, 1, 1, 0, 0
0, 0, 0, 1, 0, 1, 1, 1, 0
0, 0, 0, 1, 1, 0, 0, 0, 0
0, 0, 0, 1, 1, 0, 0, 1, 0
0, 0, 0, 1, 1, 0, 1, 0, 0
0, 0, 0, 1, 1, 0, 1, 1, 0
0, 0, 0, 1, 1, 1, 0, 0, 0
0, 0, 0, 1, 1, 1, 0, 1, 0
0, 0, 0, 1, 1, 1, 1, 0, 0
0, 0, 0, 1, 1, 1, 1, 1, 0
0, 0, 1, 0, 0, 0, 0, 0, 0
0, 0, 1, 0, 0, 0, 0, 1, 0
0, 0, 1, 0, 0, 0, 1, 0, 0
0, 0, 1, 0, 0, 0, 1, 1, 0
0, 0, 1, 0, 0, 1, 0, 0, 0
0, 0, 1, 0, 0, 1, 0, 1, 0
0, 0, 1, 0, 0, 1, 1, 0, 0
0, 0, 1, 0, 0, 1, 1, 1, 0
0, 0, 1, 0, 1, 0, 0, 0, 0
0, 0, 1, 0, 1, 0, 0, 1, 0
0, 0, 1, 0, 1, 0, 1, 0, 0
0, 0, 1, 0, 1, 0, 1, 1, 0
0, 0, 1, 0, 1, 1, 0, 0, 0
0, 0, 1, 0, 1, 1, 0, 1, 0
0, 0, 1, 0, 1, 1, 1, 0, 0
0, 0, 1, 0, 1, 1, 1, 1, 0
0, 0, 1, 1, 0, 0, 0, 0, 0
0, 0, 1, 1, 0, 0, 0, 1, 0
0, 0, 1, 1, 0, 0, 1, 0, 0
0, 0, 1, 1, 0, 0, 1, 1, 0
0, 0, 1, 1, 0, 1, 0, 0, 0
0, 0, 1, 1, 0, 1, 0, 1, 1
0, 0, 1, 1, 0, 1, 1, 0, 0
0, 0, 1, 1, 0, 1, 1, 1, 1
0, 0, 1, 1, 1, 0, 0, 0, 0
0, 0, 1, 1, 1, 0, 0, 1, 1
0, 0, 1, 1, 1, 0, 1, 0, 0
0, 0, 1, 1, 1, 0, 1, 1, 1
0, 0, 1, 1, 1, 1, 0, 0, 0
0, 0, 1, 1, 1, 1, 0, 1, 1
0, 0, 1, 1, 1, 1, 1, 0, 0
0, 0, 1, 1, 1, 1, 1, 1, 1
0, 1, 0, 0, 0, 0, 0, 0, 0
0, 1, 0, 0, 0, 0, 0, 1, 0
0, 1, 0, 0, 0, 0, 1, 0, 0
0, 1, 0, 0, 0, 0, 1, 1, 0
0, 1, 0, 0, 0, 1, 0, 0, 0
0, 1, 0, 0, 0, 1, 0, 1, 0
0, 1, 0, 0, 0, 1, 1, 0, 0
0, 1, 0, 0, 0, 1, 1, 1, 0
0, 1, 0, 0, 1, 0, 0, 0, 0
0, 1, 0, 0, 1, 0, 0, 1, 0
0, 1, 0, 0, 1, 0, 1, 0, 0
0, 1, 0, 0, 1, 0, 1, 1, 0
0, 1, 0, 0, 1, 1, 0, 0, 0
0, 1, 0, 0, 1, 1, 0, 1, 0
0, 1, 0, 0, 1, 1, 1, 0, 0
0, 1, 0, 0, 1, 1, 1, 1, 0
0, 1, 0, 1, 0, 0, 0, 0, 0
0, 1, 0, 1, 0, 0, 0, 1, 0
0, 1, 0, 1, 0, 0, 1, 0, 0
0, 1, 0, 1, 0, 0, 1, 1, 0
0, 1, 0, 1, 0, 1, 0, 0, 0
0, 1, 0, 1, 0, 1, 0, 1, 0
0, 1, 0, 1, 0, 1, 1, 0, 0
0, 1, 0, 1, 0, 1, 1, 1, 0
0, 1, 0, 1, 1, 0, 0, 0, 0
0, 1, 0, 1, 1, 0, 0, 1, 0
0, 1, 0, 1, 1, 0, 1, 0, 0
0, 1, 0, 1, 1, 0, 1, 1, 0
0, 1, 0, 1, 1, 1, 0, 0, 0
0, 1, 0, 1, 1, 1, 0, 1, 0
0, 1, 0, 1, 1, 1, 1, 0, 0
0, 1, 0, 1, 1, 1, 1, 1, 0
0, 1, 1, 0, 0, 0, 0, 0, 0
0, 1, 1, 0, 0, 0, 0, 1, 0
0, 1, 1, 0, 0, 0, 1, 0, 0
0, 1, 1, 0, 0, 0, 1, 1, 0
0, 1, 1, 0, 0, 1, 0, 0, 0
0, 1, 1, 0, 0, 1, 0, 1, 1
0, 1, 1, 0, 0, 1, 1, 0, 0
0, 1, 1, 0, 0, 1, 1, 1, 1
0, 1, 1, 0, 1, 0, 0, 0, 0
0, 1, 1, 0, 1, 0, 0, 1, 1
0, 1, 1, 0, 1, 0, 1, 0, 0
0, 1, 1, 0, 1, 0, 1, 1, 1
0, 1, 1, 0, 1, 1, 0, 0, 0
0, 1, 1, 0, 1, 1, 0, 1, 1
0, 1, 1, 0, 1, 1, 1, 0, 0
0, 1, 1, 0, 1, 1, 1, 1, 1
0, 1, 1, 1, 0, 0, 0, 0, 0
0, 1, 1, 1, 0, 0, 0, 1, 0
0, 1, 1, 1, 0, 0, 1, 0, 0
0, 1, 1, 1, 0, 0, 1, 1, 0
0, 1, 1, 1, 0, 1, 0, 0, 0
0, 1, 1, 1, 0, 1, 0, 1, 1
0, 1, 1, 1, 0, 1, 1, 0, 0
0, 1, 1, 1, 0, 1, 1, 1, 1
0, 1, 1, 1, 1, 0, 0, 0, 0
0, 1, 1, 1, 1, 0, 0, 1, 1
0, 1, 1, 1, 1, 0, 1, 0, 0
0, 1, 1, 1, 1, 0, 1, 1, 1
0, 1, 1, 1, 1, 1, 0, 0, 0
0, 1, 1, 1, 1, 1, 0, 1, 1
0, 1, 1, 1, 1, 1, 1, 0, 0
0, 1, 1, 1, 1, 1, 1, 1, 1
1, 0, 0, 0, 0, 0, 0, 0, 1
1, 0, 0, 0, 0, 0, 0, 1, 1
1, 0, 0, 0, 0, 0, 1, 0, 0
1, 0, 0, 0, 0, 0, 1, 1, 0
1, 0, 0, 0, 0, 1, 0, 0, 1
1, 0, 0, 0, 0, 1, 0, 1, 1
1, 0, 0, 0, 0, 1, 1, 0, 0
1, 0, 0, 0, 0, 1, 1, 1, 0
1, 0, 0, 0, 1, 0, 0, 0, 1
1, 0, 0, 0, 1, 0, 0, 1, 1
1, 0, 0, 0, 1, 0, 1, 0, 0
1, 0, 0, 0, 1, 0, 1, 1, 0
1, 0, 0, 0, 1, 1, 0, 0, 1
1, 0, 0, 0, 1, 1, 0, 1, 1
1, 0, 0, 0, 1, 1, 1, 0, 0
1, 0, 0, 0, 1, 1, 1, 1, 0
1, 0, 0, 1, 0, 0, 0, 0, 1
1, 0, 0, 1, 0, 0, 0, 1, 1
1, 0, 0, 1, 0, 0, 1, 0, 0
1, 0, 0, 1, 0, 0, 1, 1, 0
1, 0, 0, 1, 0, 1, 0, 0, 1
1, 0, 0, 1, 0, 1, 0, 1, 1
1, 0, 0, 1, 0, 1, 1, 0, 0
1, 0, 0, 1, 0, 1, 1, 1, 0
1, 0, 0, 1, 1, 0, 0, 0, 1
1, 0, 0, 1, 1, 0, 0, 1, 1
1, 0, 0, 1, 1, 0, 1, 0, 0
1, 0, 0, 1, 1, 0, 1, 1, 0
1, 0, 0, 1, 1, 1, 0, 0, 1
1, 0, 0, 1, 1, 1, 0, 1, 1
1, 0, 0, 1, 1, 1, 1, 0, 0
1, 0, 0, 1, 1, 1, 1, 1, 0
1, 0, 1, 0, 0, 0, 0, 0, 1
1, 0, 1, 0, 0, 0, 0, 1, 1
1, 0, 1, 0, 0, 0, 1, 0, 0
1, 0, 1, 0, 0, 0, 1, 1, 0
1, 0, 1, 0, 0, 1, 0, 0, 1
1, 0, 1, 0, 0, 1, 0, 1, 1
1, 0, 1, 0, 0, 1, 1, 0, 0
1, 0, 1, 0, 0, 1, 1, 1, 0
1, 0, 1, 0, 1, 0, 0, 0, 1
1, 0, 1, 0, 1, 0, 0, 1, 1
1, 0, 1, 0, 1, 0, 1, 0, 0
1, 0, 1, 0, 1, 0, 1, 1, 0
1, 0, 1, 0, 1, 1, 0, 0, 1
1, 0, 1, 0, 1, 1, 0, 1, 1
1, 0, 1, 0, 1, 1, 1, 0, 0
1, 0, 1, 0, 1, 1, 1, 1, 0
1, 0, 1, 1, 0, 0, 0, 0, 1
1, 0, 1, 1, 0, 0, 0, 1, 1
1, 0, 1, 1, 0, 0, 1, 0, 0
1, 0, 1, 1, 0, 0, 1, 1, 0
1, 0, 1, 1, 0, 1, 0, 0, 1
1, 0, 1, 1, 0, 1, 0, 1, 1
1, 0, 1, 1, 0, 1, 1, 0, 0
1, 0, 1, 1, 0, 1, 1, 1, 0
