## cRNA_HA cRNA_M cRNA_NA cRNA_NP cRNA_NS cRNA_PA cRNA_PB1 cRNA_PB2 cRNP_HA cRNP_M cRNP_NA cRNP_NP cRNP_NS cRNP_PA cRNP_PB1 cRNP_PB2 ERK HA_cyto HA_LipidRafts Infected IVA_EE IVA_HA1_HA2 IVA_LE IVA_ME IVA_SialicAcid IVA_SialicAcid_CCP IVA_SialicAcid_CCV M1_cyto M1_M1 M1_nuc M2_cyto MEK mRNA_HA_cyto mRNA_HA_nuc mRNA_M1_cyto mRNA_M1_nuc mRNA_M2_cyto mRNA_M2_nuc mRNA_NA_cyto mRNA_NA_nuc mRNA_NP_cyto mRNA_NP_nuc mRNA_NS1_cyto mRNA_NS1_nuc mRNA_NS2_cyto mRNA_NS2_nuc mRNA_PA_cyto mRNA_PA_nuc mRNA_PB1_cyto mRNA_PB1_nuc mRNA_PB2_cyto mRNA_PB2_nuc NA_cyto NA_LipidRafts NP_cyto NP_nuc NS1_cyto NS2_CellularFactor NS2_cyto PA_cyto par_vRNP_HA_cyto par_vRNP_M_cyto par_vRNP_NA_cyto par_vRNP_NP_cyto par_vRNP_NS_cyto par_vRNP_PA_cyto par_vRNP_PB1_cyto par_vRNP_PB2_cyto PB1_cyto PB1_PA_cyto PB1_PA_nuc PB2_cyto PB2_nuc PI3K PIP2 PIP3 PKC pro_vRNP_HA_M1_cyto pro_vRNP_HA_M1_nuc pro_vRNP_M_M1_cyto pro_vRNP_M_M1_nuc pro_vRNP_NA_M1_cyto pro_vRNP_NA_M1_nuc pro_vRNP_NP_M1_cyto pro_vRNP_NP_M1_nuc pro_vRNP_NS_M1_cyto pro_vRNP_NS_M1_nuc pro_vRNP_PA_M1_cyto pro_vRNP_PA_M1_nuc pro_vRNP_PB1_M1_cyto pro_vRNP_PB1_M1_nuc pro_vRNP_PB2_M1_cyto pro_vRNP_PB2_M1_nuc Progeny_Virion Raf RTK temp_vRNP_HA_nuc temp_vRNP_M_nuc temp_vRNP_NA_nuc temp_vRNP_NP_nuc temp_vRNP_NS_nuc temp_vRNP_PA_nuc temp_vRNP_PB1_nuc temp_vRNP_PB2_nuc vRNA_HA vRNA_HA_M1 vRNA_M vRNA_M_M1 vRNA_NA vRNA_NA_M1 vRNA_NP vRNA_NP_M1 vRNA_NS vRNA_NS_M1 vRNA_PA vRNA_PA_M1 vRNA_PB1 vRNA_PB1_M1 vRNA_PB2 vRNA_PB2_M1 PB1_PA_Interface_Inhibitor Methyl_Beta_Cyclodextrin Wortmannin U0126 Neuraminidase_inhibitor PB1_Inhibitor Viral_Dose HA_SialicAcid_Affinity M2_inhibitor RTK_Inhibitor Bisindolylmaleimide_I
# cRNA_HA (NP_nuc, PB1_PA_nuc, PB2_nuc, cRNP_HA, temp_vRNP_HA_nuc, cRNA_HA)
0, 0, 0, 0, 0, 0
0, 0, 0, 0, 1, 0
0, 0, 0, 1, 0, 0
0, 0, 0, 1, 1, 0
0, 0, 1, 0, 0, 0
0, 0, 1, 0, 1, 0
0, 0, 1, 1, 0, 0
0, 0, 1, 1, 1, 0
0, 1, 0, 0, 0, 0
0, 1, 0, 0, 1, 0
0, 1, 0, 1, 0, 0
0, 1, 0, 1, 1, 0
0, 1, 1, 0, 0, 0
0, 1, 1, 0, 1, 1
0, 1, 1, 1, 0, 1
0, 1, 1, 1, 1, 1
1, 0, 0, 0, 0, 0
1, 0, 0, 0, 1, 0
1, 0, 0, 1, 0, 0
1, 0, 0, 1, 1, 0
1, 0, 1, 0, 0, 0
1, 0, 1, 0, 1, 0
1, 0, 1, 1, 0, 0
1, 0, 1, 1, 1, 0
1, 1, 0, 0, 0, 0
1, 1, 0, 0, 1, 0
1, 1, 0, 1, 0, 0
1, 1, 0, 1, 1, 0
1, 1, 1, 0, 0, 0
1, 1, 1, 0, 1, 1
1, 1, 1, 1, 0, 1
1, 1, 1, 1, 1, 1
# cRNA_M (NP_nuc, PB1_PA_nuc, PB2_nuc, cRNP_M, temp_vRNP_M_nuc, cRNA_M)
0, 0, 0, 0, 0, 0
0, 0, 0, 0, 1, 0
0, 0, 0, 1, 0, 0
0, 0, 0, 1, 1, 0
0, 0, 1, 0, 0, 0
0, 0, 1, 0, 1, 0
0, 0, 1, 1, 0, 0
0, 0, 1, 1, 1, 0
0, 1, 0, 0, 0, 0
0, 1, 0, 0, 1, 0
0, 1, 0, 1, 0, 0
0, 1, 0, 1, 1, 0
0, 1, 1, 0, 0, 0
0, 1, 1, 0, 1, 1
0, 1, 1, 1, 0, 1
0, 1, 1, 1, 1, 1
1, 0, 0, 0, 0, 0
1, 0, 0, 0, 1, 0
1, 0, 0, 1, 0, 0
1, 0, 0, 1, 1, 0
1, 0, 1, 0, 0, 0
1, 0, 1, 0, 1, 0
1, 0, 1, 1, 0, 0
1, 0, 1, 1, 1, 0
1, 1, 0, 0, 0, 0
1, 1, 0, 0, 1, 0
1, 1, 0, 1, 0, 0
1, 1, 0, 1, 1, 0
1, 1, 1, 0, 0, 0
1, 1, 1, 0, 1, 1
1, 1, 1, 1, 0, 1
1, 1, 1, 1, 1, 1
# cRNA_NA (NP_nuc, PB1_PA_nuc, PB2_nuc, cRNP_NA, temp_vRNP_NA_nuc, cRNA_NA)
0, 0, 0, 0, 0, 0
0, 0, 0, 0, 1, 0
0, 0, 0, 1, 0, 0
0, 0, 0, 1, 1, 0
0, 0, 1, 0, 0, 0
0, 0, 1, 0, 1, 0
0, 0, 1, 1, 0, 0
0, 0, 1, 1, 1, 0
0, 1, 0, 0, 0, 0
0, 1, 0, 0, 1, 0
0, 1, 0, 1, 0, 0
