## LIP CccA HapX Cat1_2 sreA FCplusFe MirB ICP VAC TAFC ROS SidA EstB SOD2_3 SreA FCminusFe ThP RIA Yap1 hapX Superoxide  Iron
# LIP ( Iron, EstB, MirB, RIA, TAFC, LIP)
0, 0, 0, 0, 0, 0
0, 0, 0, 0, 1, 0
0, 0, 0, 1, 0, 0
0, 0, 0, 1, 1, 0
0, 0, 1, 0, 0, 0
0, 0, 1, 0, 1, 0
0, 0, 1, 1, 0, 0
0, 0, 1, 1, 1, 0
0, 1, 0, 0, 0, 0
0, 1, 0, 0, 1, 0
0, 1, 0, 1, 0, 0
0, 1, 0, 1, 1, 0
0, 1, 1, 0, 0, 0
0, 1, 1, 0, 1, 1
0, 1, 1, 1, 0, 0
0, 1, 1, 1, 1, 1
1, 0, 0, 0, 0, 0
1, 0, 0, 0, 1, 0
1, 0, 0, 1, 0, 1
1, 0, 0, 1, 1, 1
1, 0, 1, 0, 0, 0
1, 0, 1, 0, 1, 0
1, 0, 1, 1, 0, 1
1, 0, 1, 1, 1, 1
1, 1, 0, 0, 0, 0
1, 1, 0, 0, 1, 0
1, 1, 0, 1, 0, 1
1, 1, 0, 1, 1, 1
1, 1, 1, 0, 0, 0
1, 1, 1, 0, 1, 1
1, 1, 1, 1, 0, 1
1, 1, 1, 1, 1, 1
# CccA (HapX, CccA)
0, 1
1, 0
# HapX (LIP, hapX, HapX)
0, 0, 0
0, 1, 1
1, 0, 0
1, 1, 0
# Cat1_2 (HapX, Yap1, Cat1/2)
0, 0, 0
0, 1, 1
1, 0, 0
1, 1, 0
# sreA (HapX, sreA)
0, 1
1, 0
# FCplusFe (FCminusFe, LIP, FCplusFe)
0, 0, 0
0, 1, 0
1, 0, 0
1, 1, 1
# MirB (HapX, SreA, MirB)
0, 0, 0
0, 1, 0
1, 0, 1
1, 1, 0
# ICP (FCplusFe, HapX, VAC, ICP)
0, 0, 0, 0
0, 0, 1, 1
0, 1, 0, 0
0, 1, 1, 0
1, 0, 0, 1
1, 0, 1, 1
1, 1, 0, 0
1, 1, 1, 0
# VAC (CccA, LIP, VAC)
0, 0, 0
0, 1, 0
1, 0, 0
1, 1, 1
# TAFC (SidA, TAFC)
0, 0
1, 1
# ROS (Cat1/2, LIP, ROS, SOD2/3, Superoxide, ThP, ROS)
0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 1, 0
0, 0, 0, 0, 1, 0, 1
0, 0, 0, 0, 1, 1, 1
0, 0, 0, 1, 0, 0, 0
0, 0, 0, 1, 0, 1, 0
0, 0, 0, 1, 1, 0, 1
0, 0, 0, 1, 1, 1, 0
0, 0, 1, 0, 0, 0, 1
0, 0, 1, 0, 0, 1, 1
0, 0, 1, 0, 1, 0, 1
0, 0, 1, 0, 1, 1, 1
0, 0, 1, 1, 0, 0, 1
0, 0, 1, 1, 0, 1, 0
0, 0, 1, 1, 1, 0, 1
0, 0, 1, 1, 1, 1, 0
0, 1, 0, 0, 0, 0, 1
0, 1, 0, 0, 0, 1, 1
0, 1, 0, 0, 1, 0, 1
0, 1, 0, 0, 1, 1, 1
0, 1, 0, 1, 0, 0, 1
0, 1, 0, 1, 0, 1, 1
0, 1, 0, 1, 1, 0, 1
0, 1, 0, 1, 1, 1, 1
0, 1, 1, 0, 0, 0, 1
0, 1, 1, 0, 0, 1, 1
0, 1, 1, 0, 1, 0, 1
0, 1, 1, 0, 1, 1, 1
0, 1, 1, 1, 0, 0, 1
0, 1, 1, 1, 0, 1, 1
0, 1, 1, 1, 1, 0, 1
0, 1, 1, 1, 1, 1, 1
1, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 0, 1, 0
1, 0, 0, 0, 1, 0, 1
1, 0, 0, 0, 1, 1, 1
1, 0, 0, 1, 0, 0, 0
1, 0, 0, 1, 0, 1, 0
1, 0, 0, 1, 1, 0, 0
1, 0, 0, 1, 1, 1, 0
1, 0, 1, 0, 0, 0, 1
1, 0, 1, 0, 0, 1, 1
1, 0, 1, 0, 1, 0, 1
1, 0, 1, 0, 1, 1, 1
1, 0, 1, 1, 0, 0, 0
1, 0, 1, 1, 0, 1, 0
1, 0, 1, 1, 1, 0, 0
1, 0, 1, 1, 1, 1, 0
1, 1, 0, 0, 0, 0, 1
1, 1, 0, 0, 0, 1, 1
1, 1, 0, 0, 1, 0, 1
1, 1, 0, 0, 1, 1, 1
1, 1, 0, 1, 0, 0, 1
1, 1, 0, 1, 0, 1, 1
1, 1, 0, 1, 1, 0, 1
1, 1, 0, 1, 1, 1, 1
1, 1, 1, 0, 0, 0, 1
1, 1, 1, 0, 0, 1, 1
1, 1, 1, 0, 1, 0, 1
1, 1, 1, 0, 1, 1, 1
1, 1, 1, 1, 0, 0, 1
1, 1, 1, 1, 0, 1, 1
1, 1, 1, 1, 1, 0, 1
1, 1, 1, 1, 1, 1, 1
# SidA (HapX, SreA, SidA)
0, 0, 0
0, 1, 0
1, 0, 1
1, 1, 0
# EstB (SreA, EstB)
0, 1
1, 0
# SOD2_3 (Yap1, SOD2/3)
0, 0
1, 1
# SreA (LIP, sreA, SreA)
0, 0, 0
0, 1, 0
1, 0, 0
1, 1, 1
# FCminusFe (SidA, FCminusFe)
0, 0
1, 1
# ThP (Yap1, ThP)
0, 0
1, 1
# RIA (SreA, RIA)
0, 1
1, 0
# Yap1 (ROS, Yap1)
0, 0
1, 1
# hapX (SreA, hapX)
0, 1
1, 0
