## AdenylateCyclase AIF1_MT AIF1_NUC Apoptosis BIR1 CAMP CDC48 CDC6 CytC_CYT CytC_MT DesCyclinCCDK8 DNA_Frag DRE2_TAH18 EMC4 ESP1 FIS1 FVY10 H2B HOG1 HOG1_Dep HOS3 KAP123 MAPK MCD1_MT MCD1_NUC MDV1 MEC1 MMI1 MSN2_4 MT_ALT MT_Frag NDI1 NMA111_CYT NMA111_NUC NUC1_MT NUC1_NUC PKA POR1_2 Protosom PTP2 PTP3 RAS2 RLM1 ROS_CYT ROS_MT RPD3 SDP1 SLT2 SNO1 SOD1 SOD2 SRO7 STE20_CYT STE20_NUC STM1_CYT STM1_NUC SVF1 Tat_D TOR1 YCA1 Mating AbnormalTelomer Adozelesin HK Stress Salt CPR3 Heat AceticAcid MG2 H2O2 RedActinDyn CU2
# AdenylateCyclase (RAS2, Stress, AdenylateCyclase)
0, 0, 0
0, 1, 1
1, 0, 1
1, 1, 1
# AIF1_MT (HK, AIF1-MT)
0, 0
1, 1
# AIF1_NUC (AIF1-MT, AIF1-NUC)
0, 0
1, 1
# Apoptosis (AceticAcid, BIR1, CPR3, CU2, DNA-Frag, FVY10, H2O2, POR1-2, ROS-CYT, YCA1, Apoptosis)
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1
0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1
0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1
0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1
0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1
0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1
0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1
0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1
0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0
0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1
0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1
0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1
0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1
0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1
0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1
0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0
0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 1
0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 1
0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1
0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1
0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1
0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 1
0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 1
0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0
0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 1
0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 1
0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1
0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1
0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1
0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1
