,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13
0,33,31,87,10,18,0,8,1,0,1,2,0,1
1,47,34,53,18,20,3,51,4,1,6,12,5,0
2,123,85,180,22,26,2,38,3,3,0,7,0,0
3,9,12,25,13,6,2,1,0,2,2,1,3,1
4,36,44,68,12,8,0,2,1,0,0,0,0,0
5,23,24,45,7,3,0,10,0,1,1,0,0,0
6,19,13,28,0,0,0,3,2,0,0,0,0,0
7,75,38,85,10,15,1,25,3,2,0,3,0,0
8,109,82,220,22,15,1,11,0,1,2,1,0,0
9,24,19,46,22,33,4,4,2,1,1,3,2,1
10,13,15,34,15,13,6,3,1,0,1,1,1,0
11,338,365,637,10,19,1,45,5,0,2,2,0,0
12,14,14,30,41,27,15,11,2,7,6,12,23,7
13,25,21,37,7,0,0,15,0,4,0,0,1,0
14,4,6,15,0,4,1,3,2,2,0,2,0,0
15,12,8,44,0,0,0,2,0,0,0,0,0,0
16,131,94,241,20,23,2,11,4,1,1,1,0,0
17,0,0,1,0,1,1,1,0,1,1,2,1,1
18,27,20,64,3,2,0,2,1,0,0,0,0,0
19,33,34,90,36,30,2,2,0,3,6,0,0,6
20,310,550,532,0,0,0,21,3,0,0,0,0,0
21,197,62,198,44,47,5,78,4,6,12,16,2,0
22,2,14,26,0,0,0,0,0,0,0,0,0,0
23,22,21,61,25,30,2,27,6,6,6,4,9,4
24,418,262,528,72,75,9,38,8,1,13,4,3,1
25,158,56,162,0,0,0,4,0,0,0,0,0,0
26,89,50,95,11,12,0,8,2,0,0,0,0,0
27,28,44,79,3,8,0,6,0,1,0,0,1,0
28,15,21,35,14,5,0,6,1,1,1,1,1,0
29,105,56,167,0,0,0,1,0,0,0,0,0,0
30,8,62,36,0,0,0,1,0,0,0,0,0,0
31,552,390,767,16,33,0,81,4,1,2,0,0,0
32,35,15,49,33,62,26,17,2,6,12,13,11,2
33,285,132,137,4,22,0,14,1,0,0,1,0,0
34,272,150,365,7,12,0,21,1,0,0,0,0,0
35,207,100,271,7,12,0,21,0,1,5,2,1,0
36,1590,309,371,56,17,0,26,8,24,0,0,0,0
37,39,30,55,0,0,0,0,7,0,0,0,0,0
38,7,15,32,0,0,0,3,0,0,0,0,0,0
39,136,67,134,15,13,0,34,5,1,2,2,0,0
40,86,71,189,64,52,4,7,1,3,7,5,2,6
41,99,72,166,13,11,1,3,3,0,0,1,0,0
42,5,8,7,8,8,6,6,1,2,2,6,3,0
43,27,22,75,16,9,2,18,1,1,0,1,0,0
44,2,6,5,3,0,0,3,0,4,3,0,0,1
45,4,6,23,1,2,0,0,0,0,0,0,0,0
46,21,8,31,5,2,0,2,2,1,0,0,0,0
47,387,58,156,0,0,0,6,0,0,0,0,0,0
48,25,21,37,7,0,0,15,0,4,0,0,1,0
49,38,49,86,30,16,7,31,3,2,2,4,5,0
50,7,19,29,0,0,0,0,0,0,0,0,0,0
51,6,9,21,0,0,0,1,0,0,0,0,0,0
52,47,51,104,16,14,1,9,2,2,1,0,0,0
53,18,19,43,7,3,0,3,0,0,1,0,0,0
54,25,32,51,3,2,0,4,0,0,1,1,0,0
55,1177,793,1360,125,189,8,110,18,11,22,10,2,1
56,4044,437,589,13,7,1,4,1,0,0,0,0,0
57,8,16,36,2,5,0,1,1,0,0,0,0,0
58,131,79,221,8,14,0,23,0,0,0,0,0,0
59,14,18,63,2,4,0,4,1,0,0,0,0,0
60,1359,101,200,46,82,3,107,4,12,0,6,1,0
61,106,2,13,4,19,0,14,0,4,0,3,0,0
62,147,92,214,44,39,3,13,4,3,0,2,0,0
63,32,118,49,0,0,0,12,0,0,0,0,0,0
64,1,2,11,0,0,0,0,0,0,0,0,0,0
65,17,33,66,0,0,0,2,0,0,0,0,0,0
66,30,20,51,11,9,1,14,1,2,0,3,0,0
67,177,138,280,72,121,19,71,14,8,22,28,16,3
68,1,12,18,0,0,0,0,0,0,0,0,0,0
69,6,42,23,1,1,0,0,0,0,0,0,0,0
70,164,161,98,11,2,0,8,2,0,0,1,0,0
